cycle,pedigree_IDs
44550,"146270739,146271087,146270049,146271549,146275507,146273212,146271319,146269761,146273217,146270243,146269404,146273003,146274097,146270660,146271327,146271350,146270856,146269593,146269438,146270804,146271138,146269647,146269813,146269428,146269748,146271215,146271361,146271601,146273472,146271403,146274629,146270875,146275253,146270165,146274055,146271457,146270962,146269929,146271564,146274337,146274188,146270404,146270901,146270982,146271458,146269517,146270325,146270230,146273181,146270473,146271762,146274841,146269810,146271280,146270971,146273423,146269744,146269449,146272360,146272570,146270188,146271688,146274244,146272948,146271102,146273738,146271387,146270278,146269225,146275023,146269495,146270389,146269137,146272206,146269531,146272329,146275047,146271245,146273882,146269863,146270132,146271190,146272418,146270858,146270455,146270713,146270102,146270100,146270209,146269171,146270687,146273664,146269554,146272538,146270411,146273037,146270550,146272914,146274996,146270409,146270066,146275365,146269300,146270074,146272053,146270533,146269895,146272727,146272080,146273179,146269290,146271012,146272394,146270963,146271018,146271246,146269411,146274125,146271510,146269415,146271220,146269560,146269688,146270975,146272514,146273347,146269388,146269452,146270154,146272188,146270323,146271278,146269312,146274336,146270893,146271047,146270577,146269944,146270002,146270331,146275161,146271544,146269138,146274785,146274730,146273813,146270142,146271611,146270039,146274146,146269608,146274593,146275380,146270632,146269468,146269649,146270312,146270646,146269577,146275466,146271609,146271366,146273480,146271084,146272942,146269484,146269451,146269541,146270350,146274429,146270362,146273592,146274309,146270877,146270897,146271233,146270006,146270271,146271643,146271486,146270435,146269755,146272989,146269343,146271221,146269582,146270011,146270449,146272187"
44555,"146290372,146290475,146290640,146289692,146290957,146289112,146288439,146291105,146288779,146286893,146289907,146290276,146287623,146285546,146288335,146291216,146285728,146289512,146290866,146290167,146289690,146285392,146290313,146287246,146289783,146285618,146290544,146289794,146290123,146285835,146289940,146287817,146289244,146287687,146289283,146289571,146289920,146290904,146289223,146288925,146290155,146289100,146290872,146289809,146290349,146291278,146290430,146291121,146286870,146290557,146288062,146287598,146286405,146289595,146289719,146290916,146290639,146286187,146290052,146290992,146290585,146286977,146290511,146288346,146290496,146287575,146290634,146289258,146290183,146289950,146287320,146290453,146288847,146290448,146288687,146290883,146285340,146288922,146285511,146289251,146289819,146290789,146290138,146289485,146289953,146287025,146288788,146286588,146290185,146290077,146288212,146286195,146290029,146290047,146288200,146290353,146288050,146288894,146288883,146289182,146287298,146291306,146291175,146290062,146290472,146291088,146288966,146291295,146289763,146287746,146289382,146287308,146291178,146289010,146288409,146287401,146285307,146289617,146287757,146289237,146290247,146290282,146288872,146289006,146289226,146290690,146288965,146290644,146289590,146288057,146289972,146289816,146289263,146286564,146290645,146287892,146286937,146287794,146289146,146289549,146286779,146288477,146288529,146290112,146287885,146286167,146289411,146291240,146290900,146285859,146289522,146288377,146291260,146289137,146286698,146285683,146288320,146290675,146290641,146290791,146290669,146290139,146287342,146289938,146289318,146288299,146287168,146290193,146289777,146289262,146289373,146286115,146289974,146287197,146289256,146288519,146287462,146290569,146289743,146289807"
44560,"146303273,146303863,146303150,146301441,146305541,146301525,146304885,146305952,146306490,146301620,146307180,146307529,146303198,146305618,146305754,146303164,146302806,146306822,146304371,146304373,146307034,146304221,146303594,146301892,146308092,146301824,146302691,146307292,146302384,146302041,146301608,146304112,146305696,146302431,146307647,146305447,146302260,146302244,146304350,146305010,146306320,146306953,146304827,146306283,146301421,146301369,146305666,146302013,146303460,146301331,146305315,146306443,146305043,146307864,146305691,146306860,146304140,146303137,146304387,146301614,146305304,146301987,146304374,146302271,146303049,146308077,146304661,146306262,146301228,146307038,146305197,146307607,146304865,146302710,146304468,146307936,146304192,146306466,146301321,146306604,146307810,146301895,146302850,146303868,146302346,146304499,146301471,146303059,146303957,146301978,146303738,146301711,146305621,146303390,146306263,146301410,146307796,146303861,146304517,146302301,146303677,146304726,146302228,146304488,146304584,146303938,146302382,146302327,146307068,146305766,146301270,146301566,146307280,146305737,146305111,146303490,146305123,146301236,146304694,146301022,146305155,146301318,146304319"
44565,"146318898,146318579,146317891,146318022,146318821,146320835,146317636,146317896,146318879,146321001,146320047,146317866,146318971,146319971,146319217,146318626,146322565,146318349,146319773,146319263,146319296,146319115,146322064,146319917,146321459,146317734,146322954,146318058,146318027,146319497,146321237,146319352,146319533,146319968,146319420,146322777,146322277,146322263,146318825,146318580,146321346,146319747,146318813,146317609,146318173,146318836,146319693,146321794,146319673,146318293,146319614,146318776,146318775,146317880,146317897,146319412,146323139,146319442,146323296,146319082,146321039,146320273,146317646,146321285,146321026,146319383,146319064,146319550,146319558,146318370,146320260,146318548,146319357,146317747,146318522,146319089,146318594,146319461,146318743,146323059,146317929,146318308,146322103,146318822,146319450,146318447,146319317,146317868,146321019,146319214,146320753,146321599,146322566,146319068,146319176,146323043,146322014,146318685,146319798,146319435,146319289,146319239,146323247,146319638,146319737,146322679,146318333,146321156,146318427,146319476,146319035,146319006,146318290,146321407,146321152,146319517,146319506,146321469,146317700,146319698,146319620,146317621,146319380,146320959,146317922,146319800,146318130,146320060,146319155,146323284,146318881,146317996,146317681,146322689,146322610,146319132,146321027,146318210,146319813,146319824,146319071,146317725,146318190,146318719,146318946,146322629,146319739,146319298,146319612,146318663,146319894,146320848,146318318,146317825,146319779,146323356,146318797,146318621,146318089,146320341,146317767,146321250,146317805,146319018,146323333,146318984,146318567,146323275,146317786,146321004,146319261,146319599,146319318,146319311"
44570,"146336053,146333862,146336081,146335366,146337027,146337821,146334720,146337031,146336619,146335916,146335936,146336432,146335399,146337019,146332543,146337648,146332778,146336947,146336927,146335760,146337538,146334973,146335863,146335862,146337502,146334393,146333216,146335682,146336159,146337893,146335246,146337682,146336221,146335822,146336539,146337512,146334715,146336377,146336781,146333821,146332734,146336473,146333308,146336123,146335954,146336223,146334556,146336696,146337149,146336450,146337320,146337508,146335945,146336685,146335051,146333806,146335688,146334195,146337842,146335857,146337726,146335376,146333861,146335143,146336181,146336464,146333369,146336354,146337914,146336591,146336528,146333871,146336038,146332835,146336691,146336814,146334400,146335594,146334139,146333737,146337750,146333457,146336356,146335281,146336257,146336651,146333064,146336440,146336051,146337483,146337420,146332463,146336421,146336798,146333959,146336476,146335999,146337724,146334225,146332752,146337435,146334632,146336309,146333749,146336968,146333193,146336191,146337274,146337479,146333904,146337895,146335221,146335929,146333805,146337564,146337728,146335698,146336802,146336718,146337361,146337011,146335762,146334990,146336396,146336530,146334844,146335930,146337847,146332685,146336157,146336848,146336046,146336847,146336251,146337344,146333896,146333898,146333205,146337133,146336129,146337554,146335347,146337310,146337768,146336438,146332708,146337335,146336228,146337612,146335981,146336984,146332531,146336919,146333682,146336840,146334872,146333952,146333526,146336818,146336535,146337755,146336358,146337615,146335815,146334479,146332798,146332398,146337387,146337725"
44575,"146349433,146347493,146353628,146347521,146348640,146348381,146353450,146350615,146349025,146347971,146347315,146349993,146347686,146350821,146348073,146353690,146349359,146352241,146351732,146350561,146353968,146349553,146350270,146351842,146347242,146351469,146351189,146351538,146351980,146351161,146352239,146352684,146347914,146353290,146351096,146353039,146349135,146353598,146350986,146350357,146351461,146353134,146352187,146347364,146347318,146350834,146351216,146349162,146351597,146347716,146350314,146348611,146347712,146352744,146348454,146348635,146349685,146353697,146350238,146349487,146349806,146351583,146351855,146348870,146348670,146352731,146351662,146350491,146349249,146351511,146348596,146347790,146352276,146351401,146350030,146351286,146351752,146349564,146349466,146352807,146347372,146347768,146352013,146349087,146353259,146352436,146353191,146350872,146347344,146349670,146352615,146350758,146352357,146352619,146353129,146350096,146348601,146349038,146352261,146349107,146348291,146351740,146350435,146348830,146349925,146349448,146347750,146351447,146347709,146351196,146351058,146350977,146350766,146347524,146351450,146349089,146350765,146347674,146353537,146352998,146348192,146347065"
44580,"146367511,146364596,146365856,146365484,146367405,146364754,146366552,146365220,146367590,146369467,146364601,146367464,146364158,146367760,146369626,146365468,146364153,146367928,146367802,146364334,146367774,146367120,146369623,146365077,146365199,146364856,146368160,146365423,146365463,146364666,146365235,146369601,146364734,146365285,146364304,146369618,146364518,146365368,146365047,146364174,146367047,146369212,146365803,146365739,146367155,146363846,146366425,146365773,146369396,146363799,146366045,146364119,146366846,146368689,146369177,146367940,146365615,146366532,146365149,146364425,146364938,146367097,146368074,146365745,146363981,146366733,146368445,146366270,146365109,146365159,146367309,146364533,146363746,146365696,146365237,146364657,146363741,146365847,146365924,146368709,146364848,146365239,146363917,146365809,146364928,146364364,146368834,146364540,146368531,146364637,146365099,146364292,146365681,146368126,146366618,146365754,146364919,146363908,146366017,146365807,146366781,146365277,146366621,146364983,146365717,146369174,146364594,146366319,146369389,146368917,146367559,146367433,146364049,146365667,146369254,146368001,146363743,146364114,146368594,146365018,146364120,146364223,146363758,146364267,146365566,146364627,146364612,146368080,146364585,146363911,146366858,146366712,146369488,146366462,146364204,146364216,146368672,146364833,146368295,146369306,146369120,146367671,146364489,146369171,146366213,146365522,146367082,146365034,146365212,146365311,146366183,146364044,146364013,146366792,146364965,146365249,146366881,146365266,146365358,146365953,146363810,146364954,146363923,146365523,146364961,146364575,146365961,146363919,146365585,146365019,146365844,146369547,146367895,146365690,146363934,146366540,146364579,146363836,146364366,146365428,146363968"
44585,"146382922,146383161,146383793,146383134,146384216,146384890,146383206,146381439,146384576,146382790,146384967,146383531,146382689,146383369,146382800,146384202,146382960,146380730,146383620,146385387,146382481,146383254,146379718,146385447,146385006,146384685,146384175,146380518,146384340,146381920,146379734,146382691,146384885,146383152,146384139,146383198,146384517,146383870,146383157,146384242,146383187,146380215,146384272,146380928,146380137,146379983,146382253,146383154,146383392,146384039,146382237,146384030,146383496,146379941,146384206,146383644,146384675,146385093,146380866,146382850,146384413,146383984,146383495,146385198,146383578,146379846,146383455,146380609,146382658,146384688,146379703,146385148,146381738,146385426,146382327,146385188,146383066,146384696,146382052,146383910,146384919,146384729,146384410,146384391,146385064,146379874,146381628,146384369,146383780,146379755,146383649,146384909,146385042,146381838,146382771,146385352,146383385,146380545,146384699,146379756,146385166,146385358,146384897,146385455,146384428,146383757,146384096,146385010,146382619,146384700,146384374,146383632,146383639,146383946,146381427,146383282,146383804,146380990,146383151,146381317,146383594,146384873,146385133,146384586,146384524,146380511,146383296,146383430,146379643,146380410,146385453,146385330,146384633,146385104,146384344,146384651,146384269,146384304,146384555,146385209,146385083,146383461,146382430,146380719,146383180,146383785,146385171,146379990,146380841,146383309,146385274,146383684,146384097,146383070,146383609,146384927,146384831,146382735,146384021,146380407,146384603,146385175,146384426,146381685,146379476,146381384,146382053,146379760,146380873,146385272,146382341,146385007,146385276,146385091,146383406,146380892,146383196,146381845,146383697,146384127"
44590,"146401548,146401970,146401183,146401222,146397185,146396364,146399722,146400579,146396900,146398637,146398400,146398511,146400301,146397017,146401700,146398763,146397605,146398873,146399714,146399461,146395330,146400798,146400482,146395875,146395497,146398323,146401443,146396536,146398963,146396222,146398066,146397890,146398839,146401603,146395796,146396343,146401085,146400571,146395176,146396678,146396764,146401113,146396109,146395986,146397047,146402167,146397162,146395442,146397729,146397222,146397560,146401429,146395691,146399870,146397189,146401153,146400333,146399476,146400614,146401094,146396369,146395268,146398001,146396590,146399104,146401193,146400134,146398523,146401906,146400335,146397579,146401418,146400664,146401439,146398351,146399355,146395459,146400825,146401764,146401524,146396431,146399140,146396982,146399281,146398938,146395705,146395690,146397015,146397151,146397763,146395557,146399734,146396864,146398107,146396834,146398698,146399640,146398278,146400330,146396726,146395338,146398975,146398003,146397923,146398028,146398243,146396835,146395882,146401450,146400031,146401030,146401627,146399988,146398635,146399330,146402033"
44595,"146412093,146413786,146413108,146415900,146411812,146411877,146413517,146411510,146411654,146416057,146411470,146412145,146414725,146412741,146414651,146412754,146414836,146411443,146413012,146413401,146413305,146415874,146412135,146416400,146416410,146412487,146411808,146414674,146415653,146415138,146411655,146415799,146412475,146413770,146412600,146412541,146412590,146412693,146411709,146412421,146415232,146416655,146415146,146412669,146411614,146416433,146416130,146412516,146413001,146413381,146412611,146412248,146412767,146412657,146412077,146412949,146412413,146413103,146415079,146416031,146411989,146416605,146413195,146413088,146414941,146412285,146414105,146413541,146414861,146413981,146412631,146412180,146412075,146414065,146412900,146413106,146414869,146414194,146412231,146412216,146415411,146412729,146416746,146413179,146413269,146412856,146416219,146414532,146412008,146413128,146415711,146412018,146413342,146412566,146412060,146412649,146411696,146414268,146411538,146411766,146413193,146416881,146411864,146416686,146412676,146415826,146413659,146413514,146414534,146413539,146412905,146412545,146416048,146412959,146415439,146411787,146412038,146413003,146416478,146412891,146412373,146413864,146414477,146411956,146412561,146412710,146414269,146412053,146413557,146411304,146411331,146416188,146413538,146412115,146411650,146414578,146413440,146412140,146411636,146411456,146415194,146415072,146413024,146413026,146412791,146413459,146415937,146415906,146413052,146414119,146412262,146412279,146413146,146412219,146416581,146411354,146411313,146411404,146416323,146413324,146416588,146413140,146415758,146412800,146411413,146416943,146412170,146413122,146411402,146412324,146411567,146414800,146412736"
